sample_id,true_label,pred_label,prob_generated,prob_human,text,word_count
48,0,1,0.854377031326294,0.14562295377254486,"I believe that the use of the Facial Action Coding System to read the emotional expressions of students in a classroom is valuable and useful. Imagine this, you are a child in a boring old science or math class and you are frowning and you are just so bored. Then all of a sudden your teacher is making the lesson more interesting by adding superheros or music. How did she do that? Now put yourself into the shoes of the teacher in that situation. You look on your computer and see that your whole class is bored and angry. Why not make this more interesting by putting on upbeat music and adding glitter and bright colors to your notes? That is what you can do with this new technology.

This technology would be really useful in all the classrooms. If you put it on the teachers computers it would really bring the childrens grades up and hopefully keep them interested and thinking about what tomorrows lesson is going to be like. With this new technology it might even keep kids out of trouble just so they won't miss their favorite class with their new favorite teacher.

The text has many many pros of why you would want this program in classrooms. In paragraph one it states, ""She's 83 percent happy, 9 percest disgusted, 6 percent fearful, and 2 percent angry."" This is when they were talking about the Mona Lisa. The Facial Action Coding System shows all the emotion Mona Lisa was showing even though it is a painting and was painted a very long time ago. In paragraph three the text states, ""happiness, surprise, anger, disgust, fear, and sadness-and then associated each with characteristic movements of the facial muscles."" and paragraph four, ""Using video imagery, the new emotion recognition software tracks these facial movements- in a real face or in the painted face of Mona Lisa. By weighting the different units, the software can even identify mixed emotions. Each expression is compared against a neutral face."" These examples show all the emotions it can identify, such as the Mona Lisa and her mixed emotions. Another quote says, ""For instance you can probably tell how a friend is feeling simply by the look on her face. Of course, most of us would have trouble actually describing each facial trait that conveys happy, worried, etc."" The last two example and quotes I gave prove how intelligent this machine is. It can identify emotions better thanus humans, and we make the facial expressions!

This technology may be great and all but the only downside is that you can not have it on your laptop, the text states, ""Your home PC can't handles the complex algorithms used to decode Mona Lisa's smile."" This has some pros and some cons. One con in the text says, ""Imagine a computer thqat knows when you're happy or sad, For examples, if you smile when a Web ad appears on your screen, a similar ad might follow. But if you frown, the next ad will be different."" That could be really upsetting considering how annoying some ads are. For example if you have a cat but it is showing an ad for bird food, what will that be useful for?

If teachers couldn't have the program for the Facial Action Coding System on their school computers they could always jusrt smile and try to be happy. In paragrqaph nine the text states, ""According to the Facial Feedback Theory of Emotion, moving your facial muscles not only expresses emotions, but also may even help produce them."" The author also states, ""A renowned drama coach, Constantin Stanislavsky, had his actors carefully reproduce smiling and frowning as a way of creating these emotions on stage. Empathy may happen because we unconsciously imitate another person's facial expressions."" This shows that of a teacher smiles or laughs or changes her voice to a more upbeat pitch, the students may be more happy with the lesson.",663
113,0,1,0.9999716281890869,2.8419337468221784e-05,"Life is constantly manipulating you into making decisions. No matter how meaningless you think the decision may be, every outcome will effect the path of your life in one way or another. When making a decision, it is important to seek advice from others to ensure that you are making the correct choice. In the process of seeking advice regarding a certain issue, it is extremely beneficial to receive multiple opinions rather than just one because this will allow you to visualize all the possible outcomes to your decision and experience how different lifestyles interpret your problem and its solutions.

When interpreting different solutions, there is never going to be only a single route around the obstacle that life throws your way. Imagining all of the possible outcomes to a decision will allow you to weigh the pros and cons. For example, visualize yourself in a scenario in which you have to choose between furthering your education after graduating high school, or getting a job to start earning money. Some benefits to furthering your education are that it will not only allow you to become an expert in a particular region of work, but it may influence the decision of future managers seeking employees. This is because when your resume shows that you went to a university, this will impact their choice when picking you over someone who didn't make the choice to further their education after graduating high school. On the other hand, upon completion of all twelve grades, continuing to learn is no longer free. Not only is college extremely expensive once you have been excepted, but even sending in an application costs money and you are't even guaranteed to get in. Furthermore, while going to school to become more educated is a go-to for some, many others may believe that after high school, earning money, in order to be able to support a family in the present or future, is more important. Nowadays, money has a large influence on everybody because it has become a huge factor of survival. Social media influencers along with simple waitress's in small town restaurant's depend on the gains of money to be able to live. Earning money is vital to some while earning an education is just as important for others. Moreover, in this situation you may think that there are only two routes when choosing to further your knowledge versus earning money by getting a job, but that would be incorrect. It has been made possible to further an education while being employed. Technology has made a great impact on those who value both money and education. Online classes are easily available to those who have any electronic devices. Being in an online course allows a person to learn and complete work on their own time. Overall, there is always another choice to make and hearing everyone's different opinions allows you to weigh the pros and cons of each outcome.

Everybody's lifestyles are different. People were raised to believe certain things and to have varying morals. In addition to weighing the pros and cons of a decision to result in the best possible outcome, receiving the opinions of multiple people is beneficial because it allows you to view the world in contrasting ways. Being placed in someone else's shoes opens your eyes up to different points of view. This will allow you to pick the decision that would have the least amount of conflict among a group of people with mixed beliefs. For example, picture a scenario in which you have to make the decision between wearing a blue or red dress. It would benefit you if you were to ask the opinions of multiple people to see which dress was voted for the most. In the end, the outcome of picking the dress that people viewed as best would result in more positive responses when you were to actually wear the dress to an event. This comes to show that asking the opinions of several people allows for an anonymous agreement to be made.

In conclusion, it is beneficial to seek the advice of multiple people when making a decision because it allows you to visualize all of the possible outcomes and weigh the pros and cons of your solutions. As a result of hearing multiple opinions, you are more likely to pick the best solution to a conflict in your life.",733
180,0,1,0.9999488592147827,5.118921762914397e-05,"By centering the article around technology that that is able to read students' emotions, Nick D'Alto makes a great case that this developement would be a direct benefit to the learning environment. If this new technology is implemented in schools, educators will see test scores rise and see positive behavioral effects in children because of the use of emotion reading technology.

One of the most important aspects to consider when designing an education experience is whether or not it is beneficial, and more importantly, if it will keep students engaged. Dr Huang theorizes is paragraph 6 that a classroom computer could recognize when a student becomes distracted or confused, and the computer could alter the lesson and make it more useful. This could largely impact the education system by allowing each and every individual student to have a customized lesson plan based on their reactions to the origional one. With this new innovation, schools could become more efficient and churn out more successful students than ever before.

One of the many duties a teacher has is educating the students, but one of the most important roles a teacher can play in a students life is implementing discipline. As described in paragraph 8, this technology has the ability to screen people on whether they are being truthful or deceitful. Just like lying politicians, kids can get away with a lot. If bad habits continue to follow them throughout school, they will end up with a criminal potential later in life. Emotion reading technology could possibly save a students future if the teacher could read if the kid is being truthful or not. If a young child is found to be lying, the teacer could effectively discipline the kid and end the bad habit at an early age. Another example would be if kids are really telling the truth if they understand the lesson or not. If kids are truly confused and won't admit it, the emotion sensing technology would read their faces and the teacher would be alerted that the students don't undestand the lesson. These forms of accountability would instill morals and discipline in children and prevent them from forming bad habits at a young age, and eventually lead to a better and more just society.

Overall, emotion reading technology would be a strong benefit to society and specifically the education system. By being able to understand eachother better, the human population has the ability to evolve and become more intelligent, compassionate, and responsible. If it takes a new technology to bring people a higher understanding of eachother, than that technology should be implemented in not just the education system, but many other institutions around the world.",447
198,0,1,0.9999656677246094,3.436542465351522e-05,"Over the last two decades, cell phones have become very popular. Today, almost everyone has a cell phone, especially if they are old enough to drive. Cell phone use while driving has become a big controversy over the last few years and many people have faced the consequences of texting, calling, or searching their cell phones while operating a vehicle. With that being said, there are several reasons why people should not use their phones while driving. These reasons can be classified into a couple of different categories, including safety and legal reasons.

The first reason to not use a cell phone while driving is that it can result in injury or death for the driver or someone else. This could pose a safety hazard and would therefore fall under the safety category. Statistically, there are 1.6 million car crashes that are caused by texting and driving each year. Almost 390,000 injuries each year from accidents involve a cell phone or other device. Also, 1 out of every 4 car accidents are caused by texting and driving in the U.S. Therefore, there is always a risk that an accident will happen as a result of cell phone use and could harm anyone involved in the accident.

The second reason to not use a cell phone while driving is that it can result in property damage for the driver or someone else, which could pose a safety hazard but could also result in someone pressing charges. Therefore, this could be classified under the safety category and the legal category. As mentioned above, crashes due to cell phone use while driving are very common in the United States. It can cause damage to other vehicles, houses, and or company buildings. Whatever your insurance doesn't cover you have to pay out of pocket and these damages can get really expensive. Any insurance claim could also cause your monthly payments to go up.

The last reason to not use a cell phone while driving is that it is against the law in many states such as Georgia, which would fall under the legal category. On July 1, 2018, Georgia passed a Hands-Free law that basically says that anyone driving a motor vehicle on a highway in Georgia is not allowed to hold a phone with any part of their bodies. A first-time offense for using a cell phone and driving is $50, the second is $100, and the third is $150. Each offense after the third one is also $150 each. Every offense is a misdemeanor that would go on your permanent record.

There are multiple reasons why you should not use your phone while driving. This distracted driving can lead to car wrecks that could cause harm to you, to someone in your car, or to anyone else involved in the accident. An accident could also cause damage to your car, to someone else's car, or to homes, buildings, and other property damage. It is also illegal in many other states so if you are caught you could be fined up to $150 and it would go on your permanent record. Because of these potential safety hazards and legal issues, it is best to not use a cell phone while driving a vehicle.",540
201,0,1,0.9999433755874634,5.6654505897313356e-05,"You're the president of your school. You decide to plan a field trip to a zoo in another state. Your Principal warns you that it's too far away, and that the buses won't make it back to school before the end of the day. You don't take his advice. Halfway back from the trip, it's dark outside and the bus runs out of gas. You also forgot about feeding the students for dinner. You wished you had planned better and took your Principal's advice.

In our everyday lives, seeking the opinions of others can help you make a more well-rounded decision that benefits more than one person, but may take away some of you original intentions. Decisions that include more than one person sometimes require a leader to think this way. If people were to go about thinking only of their own opinions, then we would have a selfish world. By looking for others' opinions, we are humbling ourselves and looking at the greater good. Searching for multiple opinions can help someone make a better choice.

As you may know, everyone in this world thinks a little differently on any given subject. No one person can make a perfect decision for the rest of his/her peers. In 2019, a study by Willits University was taken across the country that asked many average Americans what kind of pizza they would exclusively eat for the rest of their lives. According to the data, 20% of Americans said they would eat pepperoni, 10% would eat Meat Lover's, 15% would eat vegetable pizza, 30% would eat cheese, and 25% said they would eat Hawaiian. If one person were to decide the type of pizza everyone else were to eat for the rest of their lives, then at least 70% of people would not get their preferred pizza. It's just not possible to make a decision that benefits everyone using only their own resources. Preferences of others are unclear to just one person. When we look for others' opinions, we find a way to possibly make a lot more people get the outcome they want.

Additionally, looking at the past and present of our government and most businesses, leaders have many advisers to help them make the best outcome decision. Most leaders that hold high positions are powerful, and can make decisions that take thousands, if not millions of dollars. Leaders, like the President, need to make smart decisions that don't lead to negative consequences. Because of this, the President has cabinet members, which act like advisers for him. They help him decide which government organizations and projects to fund, and which not to fund. Generic_Name, one of the President's cabinet members says, ""The President has to look at the big picture; he needs to work and find the needs and opinions of the people to solve problems."" Leaders have to find an overall decision that benefits many people at once. Government funded public services are built around providing service that benefits many people. In fact, our entire government's structure is designed to shoot down any single-opinion behavior from any one of the three branches of our government by the checks and balances system. If the President's budget plan isn't supportive of a 'need' that congress thinks it is missing, they don't approve it. When leaders seek multiple opinions, they make a choice that supports large amounts of people, not just themself.

Similarly, the strategy of seeking multiple opinions relates to experimentation in science. When taking an experiment, multiple trials are done to eliminate errors and find an average in the data. The individual opinions of others are all slightly different, just like the individual values in data collecting. In decision making there is an outcome decision that is the average of everyone's individual opinions, and in data collection, the result is the average of all the values recorded in the experiment. Generic_Name, a professor in the field of psychology once said in an article, ""Because the two [decision making and data collection] are so similar, each individual opinion is like a data point, so any opinion that is off from the others could be considered as an 'error'. When we try to make an average outcome decision, we are essentially eliminating errors, just like in data collection."" In psychology, survey and test data is something that psychologists deal with all the time. By eliminating 'errors' and averaging everyone's opinions together, we get a more accurate outcome.

To sum everything up, a better decision is made by seeking multiple opinions from others. By doing this, we are looking at the big picture and are more likely to come up with an overall outcome that benefits everyone . Nobody has the exact same opinion, so nobody can make decisions for everyone else. Leaders of businesses and even the government, like the President, have advisers. The strategy of making an overall opinion even relates to accurate data collection in science. No matter what, the decision almost always has to be a compromise. If we were to go about in our lives only planning by ourselves and thinking selfishly--you may as well be stuck in that bus with no fuel on the side of the highway in the middle of the night.",874
208,0,1,0.9997389912605286,0.0002609891816973686,"In this essay I will be writing an argumentative essay over ""The Face on Mars"" theory. This is a very argumentative subject that can have two sides to itt based on the factual evidence in the passage.""The Face on Mars"" was consider to have been made by alien lifeform. ""The Face on Mars"" is 2 miles long and is a major pop icon.

I think ""The Face on Mars"" is just a huge rock formation that was formed by the planet's weathering and erosion from nearby rocks. Since this planet has a rain season and has a very windy winter, it could've been made by weathering and erosion. Another thing that makes me believe that the face is just a rock is because the dark eyes, nose, and mouth look like shadows from the camera and the sun. One last thing about the face is that if alien lifeform made this why woud they make it 2 miles wide? This has just been one side of the argument, I will write the rest.

I think that this face is made by alien lifeform because it really looks a face. This face could've possibly been a temple or worshiping place for these lifeforms long ago. It could've been a tomb for their leader or king that might've died. If these aliens were going to make a rock this big and that wide it would be for someone or something to catch it's eye. So aliens could've made this or they might not have.

I think that ultimately this is just a coincidence because if aliens are real or were real we would have got aa picture of one or saw some remains of one. And the rock is probably just a mesa or a big landform that was made by weathering and erosion. The face of the rock is most likely just shadows from the camera angle and the sun. And another thing, when the camera passed over the mesa, it was a cloudy and rainy day, making the camera lens wet.

I think that the rock is a mesa. The proof is in the article and it would have been noticed in the pictures if there was aliens living on Mars. So the non-alien side wins this argument over this one. The rock is not a face it is a normal rock.",392
262,0,1,0.9998524188995361,0.00014753485447727144,"With the majority of people owning and using a cell phone daily, often times these people use their cell phones while operating a vehicle. This act can put not only the driver but other people's safety at risk. Humans should not be allowed to use cell phones in any capacity while operating a vehicle.

Using a cell phone while operating a vehicle can cause a person to be distracted and their focus to be shifted from the road to their device. If a vehicle is driving at sixty miles per hour, a second of distracting phone usage can cause the driver to miss hundreds of feet ahead of them leaving them vulnerable to any possible accidents in front of them. This is a danger to not only the driver but to any other drivers on the road and can lead to unnecessary injuries. Banning any phone usage while driving will greatly decrease the amount of injuries and deaths due to automobile accidents.

There are already many efforts from both phone and car manufacturers to try and help the problem of phone usage while driving. Phone companies have started to implement different apps that can turn phone notifications off while a person is driving. Such as Apple with Do Not Disturb While Driving that tracks when you are driving and blocks all calls, texts and other notifications. Car manufacturers also do not let drivers pair their phone to the car bluetooth while the car is driving. Both phone and car manufacturers have recognized that it is dangerous when people operate both in conjunction and are trying to save lives.",268
279,0,1,0.9999425411224365,5.749874617322348e-05,"Ever since it was first invented, the automobile has proved to be very important and practical for people all over the globe.  In the current century, however, the demand for the car has begun to see a potential disappearance, as  people are beginning to discover that there are advantages to minimizing their dependence on their vehicles. Limiting car usage has several very influential advantages, such as increasing mental health, reducing air pollution, and eliminating problems associated with traffic.

First of all, studies have proven that the use of automobiles is linked to the levels of stress and unhappiness that people feel. Source one elaborates on this by discussing a city in Germany that decided to give up cars. It quotes a woman who says that when she had a car she was always tense, but living in Vauban (the car- free city) has made her much happier. She is able to walk or bike everywhere that she needs to be in town. This opportunity to increase happiness is also mentioned in source three, which quotes a businessman who says that limiting car usage is ""a good opportunity to take away stress."" The alternative he choses is to ride a tandem bike with his wife. This allows for more bonding with his wife as well as increasing their physical health, which plays a vital role in mental health as well.

As of recently, the impact that cars have on the enviroment has gained more attention as well as increased concern. All vehicles emit greenhouse gasses, which are very harmful to the enviroment, causing smog and damage to the atmosphere. According to source one, limiting the use of passenger cars could reduce total greenhouse gas emissions by up to 50 percent. Source two describes how the accumulation of smog in Paris became so bad that it caused official bans on the use of cars. It took an entire week of restricting car usage to get the smog to clear up. Source four also agrees that the results of limiting car usage would have beneficial implications for carbon emissions and the enviroment. Source one mentions that as a result of all of this, the Enviromental Protection Agency in the United States is promoting car reduced communities.

Lastly, limiting car usage eliminates all problems associated with traffic. Traffic creates many problems for people, from increasing danger to wasting time. Limiting car usage would immidately reduce traffic substantially. This could prevent people from being stuck on their way home during rush-hour every day.  Having cars speeding by, in residential areas especially, increases the level of danger for pedestrians. There are many casualties that happen every year due to automobile accidents. Limiting car usage would easily eliminate this problem. It would also eliminate the problem of drunk driving and the dangers associated with it. Source four supports this claim by stating that limiting car usage would in fact improve safety.

Limiting car usage has many advantages, and therefore should definately be taken into consideration. Doing this would not only increase mental health and wellbeing, but would also save time, conserve resources, lower emissions, and improve safety.",520
294,0,1,0.9995980858802795,0.0004019727639388293,"""Unless you try to do something beyond what you have already mastered, you will never grow"".

In my opinion, I agree with this quote because, if you do not try to do better everyday, you are not going to reach your purpose. When you have the experience, on doing something you have to keep doing it, and you will improve each day. If you keep working on something that you have already work on it, and you don't stop focused on, it will make you grow. The more things you learn the more prepared you will be in your life.

My first reason that support my response, is that if you don't keep trying to do better everyday, you are not going to complete your goal. If you keep trying your best and doing what you like to do you will grow each day. Its important that you try your best everyday not only you will grow in your life but you are going to make yourself proud as well. For example, some people have their goals but they don't try their best.

My second reason that support my response is that when you have the experience on doing something you most keep doing it, and you will improve each day. Every time you try to improve, its a good opportunity for you to grow. The experience you have will make your future better. If you work on something that you have already work on it, and you don't stop focused on it will make your life easier. The more you work on something the fastest you will see the different in your life. For example, in my experience every time I know how to do something and I keep practicing, on it I get to improve myself.

My third reason that support my response is that the more things you learn the more prepared your will be in your life. If you try to learn more things and not just stay focused in just one thing will make you to be able to grow. Everyday you most have the purpose of learning new things. Learning new things each day, makes a person specialized and all the things you know. For example, in my experience when I try to learn more about something, its easier for me to talk about it.

To conclude, I agree with the author Ralph Waldo Emerson's statement. The more you know about something, the best future you will have. If you focused on doing good everyday you will grow. Trying to do something you have experience with will make you grow. Working on your purpose will make you have a better life.",447
369,0,1,0.9999334812164307,6.652802403550595e-05,"The idea of using facial recognition technology to identify how someone is feeling is a new one. It is also a preposturous one. You cannot fully understand what someone is feeling by looking at their face, and attempting to do so is an invasion of their privacy. Facial action coding systems should not be used in classrooms.

The idea that you could fully decipher what someone is feeling based on how they look is absurd. You cannot decide for yourself how someone feels based on the movement of their muscles. For example, if someone looks sad, you cannot just decide that they are sad, just because they look that way. If a machine decides I look confused, does it really have the right to change what I am learning? To understand how someone is really feeling, you have to first ask yourself why they might be feeling that way. Once you understand this, then you can determine what is happening. A machine cannot read minds. If I am confused about one thing, the machine does not know what. Not to mention that people often feel varying emotions at varying times of the day. I might be sad one minute, then laugh at a joke the next. I might not understand something, than understand it in the next second. The machine might automatically change something I understood based on a few seconds of confusion. This is not efficient or helpful.

To read someone's emotions based on their facial expressions is an invasion of their privacy. Let's assume this machine can accurately decipher someone's emotions based on muscle movement. What if you don't want people to know how you're feeling? If I am confused about something, and I am embarrased about it, suddenly the whole word knows. It should be up to the student to decide whether or not they want to seek help, not some magical machine. By forcing students to share private emotions, you run the risk of making them less willing to go to school. Who would want to go to a school where everyone knows how you feel at all times of the day? That would affect learning severely, and would definitely do more harm than good. Hindering learning in an attempt to better understand students is not worth it.

Using this software in classrooms would be ineffective, and even if it did work, it would be a huge invasion of privacy. This software should be used on paintings and nothing more. It is not accurate enough to do anything other than hold back human learning. This software is not fit for classrooms.",435
